source,HCODE,SIGUNGU,EUPMYEON,name,address,type_name,type_code,assigned_pop,capacity_est,p_elderly,p_child,vuln,pressure,priority,lat,lon
통합,4790038000,예천군,용궁면,월오2리(나산)경로당,경상북도 예천군 용궁면 나산길 35-11 ,한파쉼터,1,1104.0,3908.0,0.5797101449275363,0.014492753623188406,0.41014492753623183,0.28249744114636643,127.91484135107471,36.6297935,128.3230528
통합,4790038000,예천군,용궁면,무지경로당,경상북도 예천군 용궁면 무지길 98-7 ,한파쉼터,1,1104.0,3908.0,0.5797101449275363,0.014492753623188406,0.41014492753623183,0.28249744114636643,127.91484135107471,36.6069823,128.3177742
통합,2915568000,남구,백운2동,백운코아루경로당,광주광역시 남구 대남대로 284-14 (백운동),한파쉼터,1,3316.0,15806.0,0.22825267601387003,0.05563093622795115,0.17646615407809435,0.20979374920916108,122.76328097662521,35.1381643,126.8978888
통합,2915568000,남구,백운2동,남구향군경로당,광주광역시 남구 월산로 1-1 (백운동),한파쉼터,1,3316.0,15806.0,0.22825267601387003,0.05563093622795115,0.17646615407809435,0.20979374920916108,122.76328097662521,35.1386047,126.9012794
통합,4817032000,진주시,정촌면,함촌경로회관,"경상남도 진주시 정촌면 대축길85번길 45-3, 함촌경로회관",한파쉼터,1,1733.0,3908.0,0.1840738603577611,0.10213502596653203,0.15949221004039238,0.44344933469805525,122.56939611054246,35.12637,128.08558
통합,4817032000,진주시,정촌면,함촌회관,경상남도 진주시 정촌면 대축길105번길 10-2 ,한파쉼터,1,1733.0,3908.0,0.1840738603577611,0.10213502596653203,0.15949221004039238,0.44344933469805525,122.56939611054246,35.1284211,128.0886566
통합,4817032000,진주시,정촌면,매동마을경로당,"경상남도 진주시 정촌면 화개길 234 , 매동마을경로당",한파쉼터,1,1733.0,3908.0,0.1840738603577611,0.10213502596653203,0.15949221004039238,0.44344933469805525,122.56939611054246,35.13708,128.11235
통합,4817032000,진주시,정촌면,매동마을회관,"경상남도 진주시 정촌면 화개길 148 , 매동마을회관",한파쉼터,1,1733.0,3908.0,0.1840738603577611,0.10213502596653203,0.15949221004039238,0.44344933469805525,122.56939611054246,35.13319,128.10987
통합,4817032000,진주시,정촌면,목과남경로당,경상남도 진주시 정촌면 예하리 419-22,한파쉼터,1,1733.0,3908.0,0.1840738603577611,0.10213502596653203,0.15949221004039238,0.44344933469805525,122.56939611054246,35.1194413,128.0968872
통합,5213033000,군산시,임피면,동군산농협,전북특별자치도 군산시 임피면 서원석곡로 597 ,한파쉼터,1,1186.0,3908.0,0.4749262536873156,0.0134850400337126,0.33649388959123466,0.30348004094165815,121.11334675626212,35.9834143,126.8501115
